,lat,lon,power,geometry
1420510780,60.5042602,26.5366231,-48.0,POINT (26.5366231 60.5042602)
1425122020,63.0711451,27.6409134,-564.0,POINT (27.6409134 63.0711451)
1432005161,63.4503589,23.7647208,-12.0,POINT (23.7647208 63.4503589)
1432005193,63.4636009,23.7508443,-30.0,POINT (23.7508443 63.4636009)
1432005364,63.5429289,23.6680261,-52.0,POINT (23.6680261 63.5429289)
1432005454,63.5575721,23.4927123,10.61,POINT (23.4927123 63.5575721)
1433711990,63.0178849,23.7763826,-113.0,POINT (23.7763826 63.0178849)
1433712205,63.1525819,23.8259774,-29.0,POINT (23.8259774 63.1525819)
1433712289,63.2200519,23.6074389,-30.0,POINT (23.6074389 63.2200519)
1439555943,61.1665831,28.7634256,-1762.0,POINT (28.7634256 61.1665831)
1483738845,63.6068556,23.2792181,10.61,POINT (23.2792181 63.6068556)
1495570439,63.1776465,22.1608672,-66.0,POINT (22.1608672 63.1776465)
1495852630,63.0023439,22.7869105,104.65,POINT (22.7869105 63.0023439)
1495852633,63.0064446,22.7901274,104.65,POINT (22.7901274 63.0064446)
1495910314,62.9601001,23.0152952,-146.0,POINT (23.0152952 62.9601001)
1495910521,63.0856927,23.0601201,-181.0,POINT (23.0601201 63.0856927)
1495947098,62.885613,23.4258186,-34.0,POINT (23.4258186 62.885613)
1496000740,63.7341279,23.0380604,-126.0,POINT (23.0380604 63.7341279)
1524443864,65.8028059,24.5211286,-152.0,POINT (24.5211286 65.8028059)
1532668681,61.0005908,21.3837113,-23.0,POINT (21.3837113 61.0005908)
1534367005,63.3745935,27.4561866,-138.0,POINT (27.4561866 63.3745935)
1536393294,61.2031917,23.8309109,266.99,POINT (23.8309109 61.2031917)
1538718337,62.2505463,23.8021439,-72.0,POINT (23.8021439 62.2505463)
1538718412,62.361212,24.0024579,20.69,POINT (24.0024579 62.361212)
1540709683,60.8788542,26.5969437,98.15,POINT (26.5969437 60.8788542)
1540709741,60.8828872,26.5929626,98.15,POINT (26.5929626 60.8828872)
1540710172,60.8971473,26.5931807,135.89,POINT (26.5931807 60.8971473)
1540710285,60.9029674,26.3429688,136.37,POINT (26.3429688 60.9029674)
1540710294,60.903297,26.3389125,136.37,POINT (26.3389125 60.903297)
1557762135,60.9328902,27.6298342,-62.0,POINT (27.6298342 60.9328902)
1558729105,63.19901,24.4627545,-26.0,POINT (24.4627545 63.19901)
1564360771,63.5921457,27.238835,-233.0,POINT (27.238835 63.5921457)
1568817939,62.4794477,28.5684898,20.75,POINT (28.5684898 62.4794477)
1568817948,62.4806742,28.5735622,-37.0,POINT (28.5735622 62.4806742)
1568818115,62.534066,28.4889763,-24.0,POINT (28.4889763 62.534066)
1573357894,62.0557403,28.2948984,-37.0,POINT (28.2948984 62.0557403)
1577869148,64.335038,24.3478657,-8.0,POINT (24.3478657 64.335038)
1577870111,64.463186,24.2918963,-29.0,POINT (24.2918963 64.463186)
1579252840,60.6545956,23.5032436,-83.0,POINT (23.5032436 60.6545956)
1579253274,60.7461858,23.3393004,-22.0,POINT (23.3393004 60.7461858)
1583863570,61.1757924,28.0145248,-40.0,POINT (28.0145248 61.1757924)
1613006431,62.2820018,24.6560889,-101.0,POINT (24.6560889 62.2820018)
1616801758,63.8565455,23.3571794,10.66,POINT (23.3571794 63.8565455)
1616801786,63.858628,23.3625303,10.66,POINT (23.3625303 63.858628)
1627641575,62.7215245,25.267161,-80.0,POINT (25.267161 62.7215245)
1628928956,62.1645632,27.8036751,-89.0,POINT (27.8036751 62.1645632)
1630517876,63.3366977,28.4893546,-14.0,POINT (28.4893546 63.3366977)
1632040193,64.1478642,25.3668244,3.93,POINT (25.3668244 64.1478642)
1638670771,63.7286876,27.1725441,-72.0,POINT (27.1725441 63.7286876)
