,source,target,capacity,geo
223,353165962,5634462002,840000000,"LINESTRING (26.0000991 62.3618583, 26.2516538 60.9472744)"
224,353165962,3751497036,840000000,"LINESTRING (26.0000991 62.3618583, 26.1391354 61.0890892)"
225,353165962,5084426382,840000000,"LINESTRING (26.0000991 62.3618583, 26.0481069 61.2011898)"
226,353165962,1540709683,840000000,"LINESTRING (26.0000991 62.3618583, 26.5969437 60.8788542)"
227,353165962,1883245173,840000000,"LINESTRING (26.0000991 62.3618583, 25.6618971 60.406646)"
228,353165962,3544068280,840000000,"LINESTRING (26.0000991 62.3618583, 26.3449591 60.3708728)"
229,353165962,1639894556,840000000,"LINESTRING (26.0000991 62.3618583, 27.8605096 61.1317451)"
230,353165962,2302343980,840000000,"LINESTRING (26.0000991 62.3618583, 27.6182098 60.7431338)"
231,353165962,2759244272,840000000,"LINESTRING (26.0000991 62.3618583, 28.2903358 61.0100448)"
232,353165962,1557762135,840000000,"LINESTRING (26.0000991 62.3618583, 27.6298342 60.9328902)"
233,353165962,1703644862,840000000,"LINESTRING (26.0000991 62.3618583, 27.8394065 62.3320753)"
234,353165962,1956550790,840000000,"LINESTRING (26.0000991 62.3618583, 27.764053 62.4856149)"
235,353165962,8390726650,840000000,"LINESTRING (26.0000991 62.3618583, 27.1064736 62.5964514)"
236,353165962,2636358023,840000000,"LINESTRING (26.0000991 62.3618583, 26.8825597 62.6419554)"
237,353165962,2090571394,840000000,"LINESTRING (26.0000991 62.3618583, 27.6185236 62.8268329)"
238,353165962,9510316607,840000000,"LINESTRING (26.0000991 62.3618583, 27.1649823 62.2929372)"
239,353165962,1702699450,840000000,"LINESTRING (26.0000991 62.3618583, 26.500334 62.3216736)"
240,353165962,2086327496,840000000,"LINESTRING (26.0000991 62.3618583, 25.9993896 61.5817699)"
241,353165962,1673355821,840000000,"LINESTRING (26.0000991 62.3618583, 26.1007795 61.7924583)"
242,353165962,1704356599,840000000,"LINESTRING (26.0000991 62.3618583, 26.620813 61.9866114)"
243,353165962,5208096275,840000000,"LINESTRING (26.0000991 62.3618583, 25.6605549 62.7437219)"
244,353165962,1627641575,840000000,"LINESTRING (26.0000991 62.3618583, 25.267161 62.7215245)"
245,353165962,2504888862,840000000,"LINESTRING (26.0000991 62.3618583, 25.458512 62.5241243)"
246,353165962,1790799758,840000000,"LINESTRING (26.0000991 62.3618583, 25.212066 62.2705291)"
247,353165962,1652865042,840000000,"LINESTRING (26.0000991 62.3618583, 24.8853242 62.4425621)"
248,353165962,504707363,840000000,"LINESTRING (26.0000991 62.3618583, 24.6767497 61.7428913)"
249,353165962,1890384340,840000000,"LINESTRING (26.0000991 62.3618583, 25.3001094 60.6527074)"
250,353165962,1890384337,840000000,"LINESTRING (26.0000991 62.3618583, 25.2975929 60.6520375)"
251,353165962,503708487,840000000,"LINESTRING (26.0000991 62.3618583, 24.9059912 60.6262835)"
252,353165962,1134834266,840000000,"LINESTRING (26.0000991 62.3618583, 24.7753296 60.7246859)"
253,353165962,4833582360,840000000,"LINESTRING (26.0000991 62.3618583, 24.4778804 60.7165011)"
254,353165962,5655452751,840000000,"LINESTRING (26.0000991 62.3618583, 23.7285267 60.7611611)"
255,353165962,2289129983,840000000,"LINESTRING (26.0000991 62.3618583, 24.6265751 60.9080935)"
256,353165962,1138373767,840000000,"LINESTRING (26.0000991 62.3618583, 24.4615879 61.0153639)"
257,353165962,1138372990,840000000,"LINESTRING (26.0000991 62.3618583, 24.4928522 60.9956502)"
258,353165962,503713387,840000000,"LINESTRING (26.0000991 62.3618583, 25.2209553 61.3398921)"
259,353165962,10035810249,840000000,"LINESTRING (26.0000991 62.3618583, 25.3619538 61.1886805)"
260,353165962,1889762974,840000000,"LINESTRING (26.0000991 62.3618583, 25.3474377 60.9116007)"
261,353165962,587663666,840000000,"LINESTRING (26.0000991 62.3618583, 25.5166734 60.981735)"
262,353165962,2101622556,840000000,"LINESTRING (26.0000991 62.3618583, 25.1631093 61.8570284)"
263,353165962,1613006431,840000000,"LINESTRING (26.0000991 62.3618583, 24.6560889 62.2820018)"
264,353165962,1815903124,840000000,"LINESTRING (26.0000991 62.3618583, 24.45575 61.8156299)"
265,353165962,1339479215,840000000,"LINESTRING (26.0000991 62.3618583, 24.3733159 61.6784486)"
266,353165962,2097682897,840000000,"LINESTRING (26.0000991 62.3618583, 24.426309 61.791843)"
267,353165962,3575334938,840000000,"LINESTRING (26.0000991 62.3618583, 24.1647015 61.9804063)"
268,353165962,2094639385,840000000,"LINESTRING (26.0000991 62.3618583, 24.4779928 62.0045277)"
269,353165962,5734029445,840000000,"LINESTRING (26.0000991 62.3618583, 25.1462878 61.572053)"
270,353165962,536080120,840000000,"LINESTRING (26.0000991 62.3618583, 25.0675336 63.4657145)"
271,353165962,8572948247,840000000,"LINESTRING (26.0000991 62.3618583, 25.0454267 63.3655759)"
272,353165962,1655226900,840000000,"LINESTRING (26.0000991 62.3618583, 25.0048267 62.9359946)"
273,353165962,370631668,840000000,"LINESTRING (26.0000991 62.3618583, 25.7040813 62.2272586)"
274,353165962,959583291,840000000,"LINESTRING (26.0000991 62.3618583, 25.7026208 62.2287003)"
275,353165962,524673995,840000000,"LINESTRING (26.0000991 62.3618583, 25.6812873 62.1671715)"
276,353165962,1802476065,840000000,"LINESTRING (26.0000991 62.3618583, 25.7667659 62.1372276)"
277,356615774,4821152229,77000000,"LINESTRING (27.0822435 61.6356447, 26.8857583 61.4076291)"
278,356615774,2624865693,77000000,"LINESTRING (27.0822435 61.6356447, 26.9787914 61.532549)"
279,356615774,5801287541,77000000,"LINESTRING (27.0822435 61.6356447, 27.2382506 61.6784019)"
